snr,noise,PESQ,CSI,PermEn,D2,RR
Clean,None,4.6439 ± 0.0000,0.3598 ± 0.0295,0.9405 ± 0.0090,1.0711 ± 0.2252,0.4152 ± 0.0985
-10,bernoulli,4.4126 ± 0.1550,0.4609 ± 0.0299,0.9412 ± 0.0092,0.2608 ± 0.1655,0.8044 ± 0.0663
-10,chen,1.0793 ± 0.0092,0.2837 ± 0.0082,0.9080 ± 0.0072,2.0455 ± 0.1043,0.0765 ± 0.0100
-10,duffing,1.0447 ± 0.0050,0.3330 ± 0.0131,0.9201 ± 0.0096,1.6123 ± 0.1061,0.1525 ± 0.0192
-10,henon,1.0370 ± 0.0031,0.2062 ± 0.0052,0.9740 ± 0.0021,3.4098 ± 0.0581,0.0013 ± 0.0001
-10,ikeda,1.0358 ± 0.0030,0.1654 ± 0.0037,0.9780 ± 0.0009,3.7627 ± 0.1035,0.0009 ± 0.0001
-10,logistic,1.0309 ± 0.0024,0.1945 ± 0.0046,0.9787 ± 0.0006,3.5270 ± 0.0980,0.0010 ± 0.0001
-10,lorenz,1.0507 ± 0.0053,0.3285 ± 0.0105,0.9381 ± 0.0067,1.3594 ± 0.1058,0.2075 ± 0.0217
-10,mackey_glass,1.0917 ± 0.0100,0.2820 ± 0.0050,0.9289 ± 0.0111,1.7586 ± 0.0985,0.1154 ± 0.0109
-10,rossler,1.0457 ± 0.0060,0.3440 ± 0.0121,0.9148 ± 0.0091,1.4680 ± 0.0924,0.1529 ± 0.0172
-10,skew_tent,1.0298 ± 0.0022,0.2029 ± 0.0052,0.9787 ± 0.0007,3.6747 ± 0.1154,0.0009 ± 0.0001
-5,bernoulli,4.4683 ± 0.1297,0.4105 ± 0.0304,0.9415 ± 0.0091,0.6207 ± 0.2019,0.6370 ± 0.0880
-5,chen,1.0877 ± 0.0099,0.2747 ± 0.0085,0.9158 ± 0.0102,2.1128 ± 0.1124,0.0750 ± 0.0126
-5,duffing,1.0856 ± 0.0106,0.3214 ± 0.0164,0.9257 ± 0.0099,1.7250 ± 0.1334,0.1439 ± 0.0236
-5,henon,1.0359 ± 0.0031,0.1958 ± 0.0063,0.9731 ± 0.0031,3.5182 ± 0.0939,0.0023 ± 0.0009
-5,ikeda,1.0348 ± 0.0027,0.1627 ± 0.0035,0.9765 ± 0.0016,3.6250 ± 0.1122,0.0016 ± 0.0004
-5,logistic,1.0303 ± 0.0022,0.1897 ± 0.0065,0.9770 ± 0.0015,3.5311 ± 0.1745,0.0017 ± 0.0007
-5,lorenz,1.0937 ± 0.0113,0.3119 ± 0.0125,0.9409 ± 0.0075,1.5516 ± 0.1382,0.1813 ± 0.0290
-5,mackey_glass,1.1194 ± 0.0147,0.2781 ± 0.0063,0.9178 ± 0.0111,1.9184 ± 0.1246,0.1046 ± 0.0154
-5,rossler,1.0797 ± 0.0122,0.3209 ± 0.0128,0.9202 ± 0.0102,1.6361 ± 0.1293,0.1418 ± 0.0215
-5,skew_tent,1.0311 ± 0.0024,0.1948 ± 0.0062,0.9767 ± 0.0013,3.6662 ± 0.1279,0.0016 ± 0.0007
0,bernoulli,4.5160 ± 0.1103,0.3869 ± 0.0297,0.9405 ± 0.0090,0.8055 ± 0.2226,0.5120 ± 0.0964
0,chen,1.1382 ± 0.0150,0.2700 ± 0.0108,0.9247 ± 0.0105,2.1462 ± 0.1274,0.0876 ± 0.0183
0,duffing,1.2074 ± 0.0218,0.3071 ± 0.0165,0.9319 ± 0.0105,1.7565 ± 0.1386,0.1563 ± 0.0307
0,henon,1.0409 ± 0.0041,0.1915 ± 0.0059,0.9674 ± 0.0043,3.4171 ± 0.0849,0.0071 ± 0.0018
0,ikeda,1.0398 ± 0.0037,0.1637 ± 0.0028,0.9712 ± 0.0033,3.4667 ± 0.0714,0.0053 ± 0.0012
0,logistic,1.0350 ± 0.0029,0.1839 ± 0.0047,0.9713 ± 0.0037,3.5282 ± 0.0979,0.0044 ± 0.0011
0,lorenz,1.2026 ± 0.0219,0.3024 ± 0.0137,0.9425 ± 0.0089,1.6327 ± 0.1524,0.1832 ± 0.0366
0,mackey_glass,1.1892 ± 0.0188,0.2757 ± 0.0089,0.9207 ± 0.0108,1.9733 ± 0.1418,0.1146 ± 0.0220
0,rossler,1.1681 ± 0.0237,0.3181 ± 0.0168,0.9153 ± 0.0109,1.7223 ± 0.1423,0.1504 ± 0.0290
0,skew_tent,1.0372 ± 0.0035,0.1911 ± 0.0056,0.9705 ± 0.0045,3.5260 ± 0.0926,0.0048 ± 0.0012
5,bernoulli,4.5409 ± 0.1009,0.3660 ± 0.0303,0.9415 ± 0.0091,1.0452 ± 0.2375,0.4539 ± 0.0979
5,chen,1.2648 ± 0.0238,0.2677 ± 0.0112,0.9331 ± 0.0087,2.1709 ± 0.1165,0.1420 ± 0.0328
5,duffing,1.4791 ± 0.0399,0.3158 ± 0.0198,0.9285 ± 0.0093,1.6416 ± 0.1669,0.2186 ± 0.0481
5,henon,1.0590 ± 0.0075,0.1936 ± 0.0055,0.9633 ± 0.0052,3.1716 ± 0.1214,0.0384 ± 0.0078
5,ikeda,1.0586 ± 0.0075,0.1701 ± 0.0038,0.9655 ± 0.0050,3.2812 ± 0.0879,0.0348 ± 0.0071
5,logistic,1.0514 ± 0.0060,0.1866 ± 0.0043,0.9665 ± 0.0046,3.2887 ± 0.0969,0.0265 ± 0.0050
5,lorenz,1.4232 ± 0.0384,0.3042 ± 0.0169,0.9455 ± 0.0103,1.5798 ± 0.1637,0.2258 ± 0.0500
5,mackey_glass,1.3412 ± 0.0290,0.2725 ± 0.0106,0.9289 ± 0.0109,1.9955 ± 0.1319,0.1685 ± 0.0389
5,rossler,1.3589 ± 0.0402,0.3241 ± 0.0217,0.9146 ± 0.0117,1.6709 ± 0.1467,0.2259 ± 0.0482
5,skew_tent,1.0550 ± 0.0069,0.1927 ± 0.0055,0.9655 ± 0.0053,3.3006 ± 0.1072,0.0321 ± 0.0063
10,bernoulli,4.5560 ± 0.0988,0.3608 ± 0.0298,0.9405 ± 0.0090,1.0898 ± 0.2319,0.4318 ± 0.0985
10,chen,1.5237 ± 0.0383,0.3280 ± 0.0330,0.9376 ± 0.0083,1.5136 ± 0.2815,0.2900 ± 0.0731
10,duffing,1.9191 ± 0.0575,0.3436 ± 0.0293,0.9341 ± 0.0092,1.3146 ± 0.2428,0.3350 ± 0.0797
10,henon,1.1205 ± 0.0194,0.2351 ± 0.0192,0.9581 ± 0.0061,2.2669 ± 0.3578,0.2015 ± 0.0513
10,ikeda,1.1198 ± 0.0197,0.2233 ± 0.0163,0.9657 ± 0.0047,2.0006 ± 0.3190,0.2079 ± 0.0535
10,logistic,1.1101 ± 0.0178,0.2253 ± 0.0184,0.9689 ± 0.0041,2.3972 ± 0.3759,0.2181 ± 0.0572
10,lorenz,1.8031 ± 0.0565,0.3410 ± 0.0297,0.9421 ± 0.0115,1.2575 ± 0.2266,0.3219 ± 0.0746
10,mackey_glass,1.6003 ± 0.0414,0.3370 ± 0.0364,0.9223 ± 0.0125,1.5392 ± 0.2734,0.2870 ± 0.0749
