file,PESQ,PermEn,D2,RR,tau,m,CSI
4507-16021-0047.flac,4.6439,0.9437,1.3825,0.1469,9,4,0.2972
1995-1836-0004.flac,4.6439,0.9655,2.2973,0.0239,11,4,0.2506
7021-79730-0003.flac,4.6439,0.8968,-0.0,1.0,6,8,0.6647
908-157963-0007.flac,4.6439,0.9227,0.7959,0.4889,5,4,0.3239
2094-142345-0008.flac,4.6439,0.8958,1.5685,0.0784,17,4,0.3306
4507-16021-0026.flac,4.6439,0.9478,1.0504,0.5465,9,4,0.3493
672-122797-0008.flac,4.6439,0.9703,2.3351,0.0068,11,4,0.2424
2094-142345-0010.flac,4.6439,0.9837,0.6964,0.3539,8,4,0.37
121-123859-0002.flac,4.6439,0.9276,2.037,0.238,19,5,0.2659
4970-29093-0006.flac,4.6439,0.8825,0.9512,0.2461,5,4,0.4269
5105-28241-0015.flac,4.6439,0.993,0.3771,0.681,3,4,0.3996
3729-6852-0033.flac,4.6439,0.988,0.0001,0.9966,8,5,0.4397
5639-40744-0031.flac,4.6439,0.9087,2.2319,0.0409,13,4,0.268
4992-41797-0001.flac,4.6439,0.9566,2.1316,0.0299,6,4,0.2574
8224-274381-0009.flac,4.6439,0.915,0.6439,0.4831,7,4,0.3829
3575-170457-0036.flac,4.6439,0.9545,0.322,0.8014,20,4,0.4382
4507-16021-0032.flac,4.6439,0.9586,0.0426,0.9601,6,8,0.4852
8224-274381-0016.flac,4.6439,0.9671,1.3336,0.1251,16,4,0.3096
2961-960-0000.flac,4.6439,0.9793,1.4715,0.2123,2,4,0.2257
5639-40744-0003.flac,4.6439,0.8974,1.0769,0.3389,4,4,0.4066
8224-274381-0005.flac,4.6439,0.8964,2.0773,0.0539,2,4,0.2544
5105-28233-0007.flac,4.6439,0.9407,0.8298,0.179,3,8,0.3666
4077-13751-0018.flac,4.6439,0.889,1.6909,0.207,4,8,0.3268
2961-961-0022.flac,4.6439,0.9808,0.3768,0.8709,8,4,0.4285
2300-131720-0028.flac,4.6439,0.9393,1.5869,0.1069,12,3,0.303
3575-170457-0046.flac,4.6439,0.969,1.5389,0.2007,9,4,0.2493
2300-131720-0035.flac,4.6439,0.9362,0.0832,0.7256,20,4,0.4569
5142-36377-0014.flac,4.6439,0.9417,0.0321,0.9548,3,8,0.4697
121-123859-0001.flac,4.6439,0.9261,0.9607,0.5439,3,4,0.3253
3570-5696-0003.flac,4.6439,0.9711,1.1545,0.1457,15,4,0.3088
1221-135767-0000.flac,4.6439,0.884,2.8254,0.002,6,8,0.2111
8224-274381-0002.flac,4.6439,0.8656,1.9212,0.1053,6,8,0.3074
8230-279154-0043.flac,4.6439,0.9298,-0.0,0.9952,26,3,0.5171
7021-79759-0004.flac,4.6439,0.9605,0.8115,0.3987,12,4,0.3153
1995-1836-0010.flac,4.6439,0.9492,1.8229,0.0518,16,3,0.286
3729-6852-0008.flac,4.6439,0.9185,1.533,0.1123,7,4,0.3161
3729-6852-0006.flac,4.6439,0.9574,2.5415,0.0605,3,8,0.1945
1188-133604-0023.flac,4.6439,0.9432,-0.0,1.0,34,3,0.4996
121-123852-0003.flac,4.6439,0.8934,0.0118,0.9601,6,3,0.7159
1284-134647-0005.flac,4.6439,0.9447,0.8355,0.1968,11,4,0.3736
6930-75918-0003.flac,4.6439,0.9121,0.0087,0.9811,9,4,0.5107
5639-40744-0027.flac,4.6439,0.929,0.8338,0.5532,3,4,0.3476
1188-133604-0009.flac,4.6439,0.9511,2.5116,0.0167,6,4,0.2528
7127-75947-0009.flac,4.6439,0.9326,1.1698,0.3199,14,8,0.2989
2094-142345-0000.flac,4.6439,0.998,-0.0,1.0,3,4,0.3944
4507-16021-0020.flac,4.6439,0.9517,0.9394,0.2482,8,4,0.3099
8230-279154-0038.flac,4.6439,0.9379,0.9018,0.2715,16,3,0.3663
8224-274381-0001.flac,4.6439,0.9523,-0.0,1.0,6,4,0.4626
8224-274384-0011.flac,4.6439,0.9828,0.8913,0.226,14,4,0.3553
5639-40744-0030.flac,4.6439,0.9849,0.9213,0.4713,15,4,0.3326
