file,noise,snr,PESQ,PermEn,D2,RR,tau,m,CSI
4507-16021-0047.flac,logistic,-10,1.0357,0.9798,3.632,0.0008,6,8,0.1875
4507-16021-0047.flac,logistic,-5,1.036,0.9772,3.853,0.0011,5,8,0.1767
4507-16021-0047.flac,logistic,0,1.0404,0.9702,3.5506,0.002,9,8,0.1752
4507-16021-0047.flac,logistic,5,1.056,0.9491,3.2434,0.0201,9,6,0.181
4507-16021-0047.flac,logistic,10,1.1127,0.9733,2.1224,0.1001,8,4,0.2019
4507-16021-0047.flac,skew_tent,-10,1.0357,0.9785,3.6801,0.001,7,8,0.1986
4507-16021-0047.flac,skew_tent,-5,1.0374,0.9789,3.6968,0.0012,8,8,0.1867
4507-16021-0047.flac,skew_tent,0,1.046,0.9697,3.5614,0.0022,8,8,0.1801
4507-16021-0047.flac,skew_tent,5,1.0642,0.9384,3.3551,0.0144,9,7,0.1875
4507-16021-0047.flac,skew_tent,10,1.1298,0.9542,2.6332,0.0712,10,5,0.2
4507-16021-0047.flac,henon,-10,1.0533,0.9778,3.6567,0.0016,8,8,0.1947
4507-16021-0047.flac,henon,-5,1.0453,0.9788,3.6715,0.0015,8,8,0.1823
4507-16021-0047.flac,henon,0,1.0499,0.9701,3.3879,0.0023,8,8,0.1789
4507-16021-0047.flac,henon,5,1.0687,0.9439,3.382,0.0088,8,8,0.1823
4507-16021-0047.flac,henon,10,1.1275,0.9475,2.4921,0.0711,8,5,0.2017
4507-16021-0047.flac,bernoulli,-10,4.5383,0.9437,0.0115,0.7834,9,4,0.4484
4507-16021-0047.flac,bernoulli,-5,4.5622,0.9437,0.4986,0.5311,9,4,0.3645
4507-16021-0047.flac,bernoulli,0,4.5814,0.9437,1.1883,0.2834,9,4,0.3084
4507-16021-0047.flac,bernoulli,5,4.5926,0.9437,1.3118,0.1925,9,4,0.301
4507-16021-0047.flac,bernoulli,10,4.5979,0.9437,1.3589,0.1565,9,4,0.2984
4507-16021-0047.flac,ikeda,-10,1.047,0.9768,3.8462,0.0012,5,8,0.1577
4507-16021-0047.flac,ikeda,-5,1.0446,0.9807,3.2619,0.001,9,8,0.1574
4507-16021-0047.flac,ikeda,0,1.0482,0.97,3.5519,0.0021,7,8,0.1541
4507-16021-0047.flac,ikeda,5,1.065,0.9471,3.4096,0.0077,9,8,0.166
4507-16021-0047.flac,ikeda,10,1.1295,0.9746,2.3043,0.1066,9,4,0.1901
